화재발생일시,화재발생_연,화재발생_월,화재발생_일,주말여부,화재발생시간대,시군구명,읍면동명,발화지점,날씨,온도,습도,특보내용,발화원인종합,소방서명,서센터명,소방지역대명,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,전체인력수합계,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
2014-01-15 16:19:00,2014,1,15,0,15~18,삼척시,도계읍,산중턱,맑음,2,45,,인간의 부주의,삼척소방서,도계119안전센터,,500,41,4,0.0,180,15200,20,0,0,0.1
2014-01-16 10:44:00,2014,1,16,0,9~12,정선군,북평면,산중턱,맑음,6,50,,인간의 부주의,정선소방서,조양119안전센터,북평119지역대,500,18,18,9.0,136,34000,18,0,0,0.2
2014-01-19 19:31:00,2014,1,19,1,18~21,원주시,신림면,산아래,맑음,-2,48,,인간의 부주의,원주소방서,신림119안전센터,,1440,22,3,0.0,66,3020,6,0,0,0.02
2014-03-03 11:37:00,2014,3,3,0,9~12,원주시,흥업면,산아래,맑음,10,60,,인간의 부주의,원주소방서,혁신119안전센터,명륜119지역대,2934,27,27,0.0,53,924,13,0,0,0.1
2014-03-03 14:06:00,2014,3,3,0,12~15,원주시,관설동,산아래,맑음,10,25,,인간의 부주의,원주소방서,단구119안전센터,,920,5,4,0.0,70,2918,10,0,0,0.06
2014-03-07 11:51:00,2014,3,7,0,9~12,영월군,김삿갓면,산아래,맑음,2,17,건조주의보,인간의 부주의,영월소방서,중동119안전센터,김삿갓119지역대,732,12,20,5.0,411,90743,19,0,0,2.0
2014-03-07 13:37:00,2014,3,7,0,12~15,춘천시,서면,산아래,맑음,5,23,,인간의 부주의,춘천소방서,강촌119안전센터,,1308,21,9,0.0,58,10012,5,0,0,0.05
2014-03-07 15:08:00,2014,3,7,0,15~18,홍천군,북방면,산아래,맑음,5,13,,미상,홍천소방서,홍천119안전센터,북방119지역대,1700,16,16,14.0,107,11734,10,0,0,0.2
2014-03-10 10:19:00,2014,3,10,0,9~12,화천군,화천읍,평지,맑음,5,0,,인간의 부주의,춘천소방서,화천119안전센터,,448,40,5,0.0,95,11800,3,0,0,0.12
2014-03-24 16:24:00,2014,3,24,0,15~18,홍천군,두촌면,산아래,맑음,16,0,,인간의 부주의,홍천소방서,홍천119안전센터,두촌119지역대,355,24,24,2.0,128,10032,9,0,0,0.2
